"gene","BE1_ranks","BE2_ranks"
"AC000120.1",0.00150951062663739,0.00783019899804663
"AC000123.1",0.00220857210578605,0.000376633941842801
"AC000403.1",-0.00855010568505262,0.000765939501100624
"AC001226.1",0.00976596966699991,-0.012481429164034
"AC002044.1",0.0177449010101613,0.0202266462939148
"AC002057.1",-0.0147935917955276,-0.0108449503647591
"AC002057.2",0.00147229171891805,0.0113460461622002
"AC002059.1",-0.00899610012814985,-0.000203294686661752
"AC002064.1",-0.00241926236570085,-0.00250125726055884
"AC002066.1",-0.00166715864413233,-0.00989954268498458
"AC002069.2",0.0153629933977858,-0.00902143236264727
"AC002070.1",0.0105519534237165,-0.00131666260738806
"AC002072.1",-0.0101560388732991,-0.005349577355804
"AC002074.1",0.0286393415065979,0.0202132968397419
"AC002076.1",0.00837823825457392,0.0224260631002613
"AC002094.2",0.0193767987899809,0.012631929930929
"AC002094.4",0.0025794490710964,-0.0125370066523363
"AC002101.1",0.00233881993829126,0.00107082002760217
"AC002116.2",0.000754124665024616,-0.0193956016720678
"AC002128.1",0.0018522861179709,0.0210658931868666
"AC002310.1",-0.00144973513651472,-0.0231371108204532
"AC002310.2",-0.00937342725996826,-0.0166543539800685
"AC002331.1",-0.0109968347992056,0.00358755299641694
"AC002347.1",-0.0126110607978069,-0.00215450749505473
"AC002347.2",0.0080650321321485,0.0131472790051868
"AC002351.1",0.00296365778875345,-0.0176488880286114
"AC002377.1",0.00969811145093149,0.00208081213774044
"AC002378.1",-0.0132857280255717,-0.0246651613759989
"AC002383.1",-0.00599860396914009,-0.0126381302518169
"AC002398.1",0.00704349851066959,-0.00931097157173092
"AC002401.1",-0.00457877391288575,0.0235304216842608
"AC002401.4",-0.000405420201348397,-0.00770801443587987
"AC002407.1",-0.00941593501103198,0.00170240891519648
"AC002429.2",0.016376064694895,0.00706840003768618
"AC002451.1",-0.0055791591513549,0.000230558670840042
"AC002454.1",0.00737256220207584,-0.0112332984910741
"AC002456.1",-0.0180082283514976,0.00448416064060025
"AC002458.1",0.0164246392636508,0.00616819655694443
"AC002460.2",0.00225030130212484,0.000435386443926074
"AC002463.1",0.0172398901048367,0.0188316318322217
"AC002467.1",-0.0102436920800239,0.00106201002238517
"AC002470.1",0.015016779307936,-0.0130103703363627
"AC002472.1",-0.0163194432212616,-0.0124216453681172
"AC002480.1",-0.00329560054483065,0.0115430196494288
"AC002480.2",-0.00915609979130178,0.0116907182757448
"AC002542.6",0.00153451400651583,0.00534812497136946
"AC002546.1",0.00317389664823231,-0.00159760102148435
"AC002550.1",-0.00714815414939089,0.016477447489387
"AC002550.2",0.0121956852900381,-0.00859432196223722
"AC002553.1",-0.00991005366223846,0.00511602653530071
"AC002553.2",0.0249936624369441,0.0189643254729881
"AC002558.2",0.0155383965577937,0.00654507035082847
"AC002558.3",0.020221868088177,0.0115308092552091
"AC002563.1",0.00758647058265259,0.00861992689957487
"AC003005.2",-0.00139107497635973,0.00791881906283479
"AC003035.1",-0.00192569987729568,0.0176300926207002
"AC003044.1",-4.99924523509193e-05,0.011023477246037
"AC003070.2",-0.00442460140064644,0.0178033546852901
"AC003077.1",-0.00904386443284993,0.0241130561142339
"AC003086.1",0.0137146413172832,-0.00542160236914307
"AC003087.1",0.0173546860679754,-0.0115658176537887
"AC003092.1",0.0210810841095306,0.00330666447874362
"AC003092.2",0.0183672691457995,-0.00298846985787989
"AC003093.1",0.0105848694253542,0.0238726435914952
"AC003101.1",0.0120611659771662,0.0173928162280738
"AC003101.2",0.00717246302087961,-0.00922576743088238
"AC003102.1",-0.00451875101854981,-0.00783565778276044
"AC003666.1",-0.000758916080587595,0.00896165049205744
"AC003681.1",0.0302501903283995,0.000234932052176774
"AC003682.1",-0.0046775203727221,0.0281641242370475
"AC003685.1",-0.00557250156030998,0.00918622552674033
"AC003950.1",0.0151072455781707,-0.0176488880286114
"AC003958.2",-0.015367465793483,-0.016195866479722
"AC003965.1",0.0216566257370741,0.00281090831132435
"AC003982.1",0.00399105915552131,0.0160688209173247
"AC003984.1",-0.0147722289594442,-0.0354873507611479
"AC003986.2",0.00512602317399615,0.00922880319401009
"AC003986.3",0.0232981462324193,0.00729688499727146
"AC003988.1",-0.0174150836534731,-0.0089015306111042
"AC003991.1",0.0158521913189529,-0.00663029095648497
"AC003991.2",0.0151625123748924,-0.0157436116068493
"AC004000.1",0.00740690270187493,-0.0256369801889342
"AC004014.1",-0.0112545467012457,0.000270653873921198
"AC004034.1",-0.0102558671288296,-0.0113178610884207
"AC004039.1",0.0220605007487447,-0.016866902872985
"AC004052.1",-0.00424050035274139,-0.00536771135001818
"AC004053.1",0.00873440091061669,-0.0170931349326607
"AC004054.1",0.000187698326621052,0.014416077867886
"AC004066.2",-0.0147935917955276,0.00348842770831766
"AC004067.1",0.00891576915372771,-0.00971865537180006
"AC004069.1",0.00197768899304574,-0.0124888947636314
"AC004076.2",0.00111183635423042,-0.0241063093021721
"AC004080.2",0.0251912768477856,-0.0166794188838683
"AC004083.1",-0.00641532455715679,-0.00273617116438747
"AC004112.1",-0.00677910503744535,-0.0136585373268574
"AC004130.2",0.000776123745313356,0.00443893334406422
"AC004148.1",0.00542622670643097,-0.0122187811003872
"AC004156.1",0.00914107897733969,0.0164591906622108
"AC004158.1",0.00690430686219359,-0.00382429038319445
"AC004160.1",0.010984494535003,0.0167131216238866
"AC004217.1",0.00229409507407715,0.0144430285907025
"AC004221.1",0.0111429688403553,0.011891987735133
